Last position of orbit,   A
-0.08006538  0.          3.52707548  1.         0.203337
  8.41180498e-04   0.00000000e+00   3.84113913e+00   1.00000000e+00 0.203338
 0.08006817  0.          2.75607002  1.         0.203339
 -8.43829636e-04   0.00000000e+00   2.44202876e+00   1.00000000e+00 0.20334
-0.08007105  0.          3.52715708  1.         0.203341
  8.46353595e-04   0.00000000e+00   3.84117391e+00   1.00000000e+00 0.203342
 0.08007377  0.          2.7559891   1.         0.203343
 -8.48997386e-04   0.00000000e+00   2.44199409e+00   1.00000000e+00 0.203344
-0.08007652  0.          3.52723476  1.         0.203345
  8.51531718e-04   0.00000000e+00   3.84120859e+00   1.00000000e+00 0.203346
 0.08007937  0.          2.75590975  1.         0.203347
 -8.54089396e-04   0.00000000e+00   2.44195926e+00   1.00000000e+00 0.203348
-0.08008209  0.          3.52731431  1.         0.203349
  8.56678135e-04   0.00000000e+00   3.84124293e+00   1.00000000e+00 0.20335
 0.08008493  0.          2.7558303   1.         0.203351
 -8.59252330e-04   0.00000000e+00   2.44192466e+00   1.00000000e+00 0.203352
-0.08008766  0.          3.52739383  1.         0.203353
  8.61827703e-04   0.00000000e+00   3.84127752e+00   1.00000000e+00 0.203354
 0.08009046  0.          2.75575144  1.         0.203355
 -8.64433075e-04   0.00000000e+00   2.44189008e+00   1.00000000e+00 0.203356
-0.08009323  0.          3.52747355  1.         0.203357
  8.66915919e-04   0.00000000e+00   3.84131230e+00   1.00000000e+00 0.203358
 0.08009598  0.          2.75567295  1.         0.203359
 -8.69539151e-04   0.00000000e+00   2.44185526e+00   1.00000000e+00 0.20336
-0.08009876  0.          3.52755224  1.         0.203361
  8.72056980e-04   0.00000000e+00   3.84134697e+00   1.00000000e+00 0.203362
 0.08010158  0.          2.75559224  1.         0.203363
 -8.74614178e-04   0.00000000e+00   2.44182066e+00   1.00000000e+00 0.203364
-0.08010433  0.          3.52763171  1.         0.203365
  8.77232724e-04   0.00000000e+00   3.84138203e+00   1.00000000e+00 0.203366
 0.08010706  0.          2.75551483  1.         0.203367
 -8.79786817e-04   0.00000000e+00   2.44178668e+00   1.00000000e+00 0.203368
-0.08010984  0.          3.5277107   1.         0.203369
  8.82333713e-04   0.00000000e+00   3.84141591e+00   1.00000000e+00 0.20337
 0.08011267  0.          2.75543424  1.         0.203371
 -8.84852703e-04   0.00000000e+00   2.44175288e+00   1.00000000e+00 0.203372
